secid,ticker,exercise_style,date,close,rate,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,460000,4.8,5.1,174,1984
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,470000,67.1,67.8,30,1743
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,470000,6.3,6.5,160,1457
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,480000,59.3,59.8,57,1174
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,480000,8.4,8.6,154,1308
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,490000,51.7,52.3,65,1114
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,490000,10.6,10.8,227,1138
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,500000,44.7,44.9,228,2535
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,500000,13.5,13.8,170,2081
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,510000,38.2,38.6,117,1508
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,510000,16.9,17.3,100,633
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,520000,32.3,32.5,438,5033
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,520000,21,21.4,75,924
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,530000,27,27.3,138,1484
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,530000,25.7,26,72,552
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,540000,22.3,22.5,371,1675
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,540000,31.1,31.4,69,415
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,550000,18.2,18.4,209,2458
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,550000,37.1,37.5,42,368
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,560000,14.7,14.8,93,1668
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,560000,43.7,44.2,20,108
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,570000,11.7,11.9,28,1122
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,570000,51,51.5,40,86
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,580000,9.3,9.5,255,1107
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,580000,58.7,59.4,10,71
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,590000,7.2,7.4,61,1241
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,590000,67.1,67.8,4,43
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,600000,5.6,5.8,728,3128
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/15/07,P,600000,75.9,76.7,0,13
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,610000,4.3,4.5,135,1405
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,610000,85.1,86,24,16
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,620000,3.3,3.5,63,698
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,620000,94.7,95.6,14,0
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,630000,2.5,2.6,105,796
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,P,630000,104.7,105.6,3,0
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,640000,1.9,2,16,1118
121812,GOOG,A,6/22/07,524.98,0,9/22/07,4/23/07,P,640000,114.7,115.6,0,0
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,650000,1.4,1.55,144,970
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/19/07,P,650000,124.7,125.6,0,0
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/22/07,C,660000,1.05,1.1,355,5746
121812,GOOG,A,6/22/07,524.98,0,9/22/07,6/21/07,P,660000,134.7,135.7,0,10
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,C,300000,232.6,233.6,6,109
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/7/07,P,300000,0.15,0.35,0,237
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/21/07,C,310000,222.8,223.8,0,87
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/18/07,P,310000,0.25,0.4,0,200
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,C,320000,213.3,214.3,0,38
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,320000,0.4,0.55,1,159
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,C,330000,203.7,204.7,1,58
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/12/07,P,330000,0.55,0.7,0,182
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,C,340000,194.2,195.2,0,26
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,340000,0.75,0.9,48,184
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/21/07,C,350000,184.7,185.7,0,65
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,350000,1,1.15,41,289
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,C,360000,175.2,176.2,0,1260
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,360000,1.3,1.5,30,347
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/21/07,C,370000,165.8,166.8,0,30
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,370000,1.7,1.9,35,374
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/7/07,C,380000,156.7,157.7,0,22
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,P,380000,2.2,2.35,0,388
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/4/07,C,390000,147.4,148.4,0,22
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,390000,2.8,3,40,387
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,C,400000,138.4,139.4,0,79
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,400000,3.5,3.7,68,1074
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/20/07,C,410000,129.7,130.7,0,73
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,410000,4.4,4.6,42,412
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/20/07,C,420000,120.9,121.9,0,17
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,420000,5.5,5.7,4,246
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/14/07,C,430000,112.4,113.4,0,64
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,430000,6.7,7,19,300
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/18/07,C,440000,104.2,105.1,0,70
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/22/07,P,440000,8.2,8.5,43,377
121812,GOOG,A,6/22/07,524.98,0,12/22/07,6/19/07,C,450000,96.2,97,0,249
